"Plot","Crop_ID","Rot","Variety","Planted","Harvested","Moisture","Standardized_yield_MgpHa","Standardized_yield_bu_ac","Year","bu_p_acre","lb_p_ac","Standardized_lb_ac","Conversion_factor","Standard_moisture","Crop","Block"
12,"O4","4-year","INO9201","12-Apr-17","17-Jul-17",14.8,3.964908737,91.58866875,2017,"94.296875",3102.367188,3536.698594,892,14,"oat grain","1"
15,"O3","3-year","INO9201","12-Apr-17","17-Jul-17",14.5,3.764528097,87.26610938,2017,"89.53125",2945.578125,3357.959063,892,14,"oat grain","1"
21,"O4","4-year","INO9201","12-Apr-17","17-Jul-17",15.3,3.909064952,89.76876563,2017,"92.96875",3058.671875,3486.885938,892,14,"oat grain","2"
26,"O3","3-year","INO9201","12-Apr-17","17-Jul-17",15.3,3.439320172,78.98142656,2017,"81.796875",2691.117188,3067.873594,892,14,"oat grain","2"
31,"O4","4-year","INO9201","12-Apr-17","17-Jul-17",15.6,3.771097954,86.293725,2017,"89.6875",2950.71875,3363.819375,892,14,"oat grain","3"
36,"O3","3-year","INO9201","12-Apr-17","17-Jul-17",14.8,3.248794318,75.04655625,2017,"77.265625",2542.039063,2897.924531,892,14,"oat grain","3"
43,"O4","4-year","INO9201","12-Apr-17","17-Jul-17",13.8,4.145579807,96.88610625,2017,"98.59375",3243.734375,3697.857188,892,14,"oat grain","4"
47,"O3","3-year","INO9201","12-Apr-17","17-Jul-17",13.5,2.848033037,66.79286719,2017,"67.734375",2228.460938,2540.445469,892,14,"oat grain","4"
11,"O3","3-year","INO9202","16-Apr-19","24-Jul-19",12.7,3.380191459,80.00635781,2019,"80.390625",2644.851563,3015.130781,892,14,"oat grain","1"
14,"O4","4-year","INO9203","16-Apr-19","24-Jul-19",13.4,3.633130956,85.30370625,2019,"86.40625",2842.765625,3240.752813,892,14,"oat grain","1"
23,"O3","3-year","INO9204","16-Apr-19","24-Jul-19",12.8,3.557577599,84.1084875,2019,"84.609375",2783.648438,3173.359219,892,14,"oat grain","2"
29,"O4","4-year","INO9205","16-Apr-19","24-Jul-19",11.9,3.416325673,81.602625,2019,"81.25",2673.125,3047.3625,892,14,"oat grain","2"
32,"O4","4-year","INO9206","16-Apr-19","24-Jul-19",13.6,3.577287171,83.79855,2019,"85.078125",2799.070313,3190.940156,892,14,"oat grain","3"
38,"O3","3-year","INO9207","16-Apr-19","24-Jul-19",15,3.396616101,78.27703125,2019,"80.78125",2657.703125,3029.781563,892,14,"oat grain","3"
48,"O3","3-year","INO9208","16-Apr-19","24-Jul-19",13.7,3.084547891,72.17242031,2019,"73.359375",2413.523438,2751.416719,892,14,"oat grain","4"
49,"O4","4-year","INO9209","16-Apr-19","24-Jul-19",11.1,2.096112896,50.52256453,2019,"49.8515625",1640.116406,1869.732703,892,14,"oat grain","4"
15,"O3","4-year","INO9210","2-Apr-20","24-Jul-20",14.4,2.646739411,36.88893054,2020,".",2070.957504,2360.891555,892,14,"oat grain","1"
18,"O4","3-year","INO9211","2-Apr-20","24-Jul-20",15.3,3.27237047,45.60866343,2020,".",2560.486368,2918.95446,892,14,"oat grain","1"
26,"O3","3-year","INO9212","2-Apr-20","24-Jul-20",15.2,2.812118955,39.19390794,2020,".",2200.359744,2508.410108,892,14,"oat grain","2"
28,"O4","4-year","INO9213","2-Apr-20","24-Jul-20",15.35,2.987638692,41.64021428,2020,".",2337.69624,2664.973714,892,14,"oat grain","2"
36,"O3","3-year","INO9214","2-Apr-20","24-Jul-20",14,2.931228936,40.8540033,2020,".",2293.55808,2614.656211,892,14,"oat grain","3"
37,"O4","4-year","INO9215","2-Apr-20","24-Jul-20",14,3.823190701,53.2857204,2020,".",2991.47904,3410.286106,892,14,"oat grain","3"
46,"O4","4-year","INO9216","2-Apr-20","24-Jul-20",14,2.980556685,41.5415088,2020,".",2332.15488,2658.656563,892,14,"oat grain","4"
47,"O4","4-year","INO9217","2-Apr-20","24-Jul-20",14,2.670662357,37.2223566,2020,".",2089.67616,2382.230822,892,14,"oat grain","4"
